metric,value,unit
run_id,sandisk_hackathon_v1,
total_blocks,400,blocks
duration,0.536,seconds
throughput,3.058,MB/sec
compression_ratio,0.6357,
space_saving,36.43,%
cache_hit_rate,0.035,
avg_latency,1.084,ms
p95_latency,1.6295,ms
p99_latency,1.8847,ms
errors,14,count
,,
workload,blocks,avg_ratio,saving_pct,cache_hit_rate,avg_latency_us
random_data,160,1.0,0.0,0.0,911.75
structured_logs,100,0.2186,78.14,0.0,1478.88
repetitive_data,80,0.2192,78.08,0.175,1061.39
archives,60,1.0,0.0,0.0,915.04
,,
codec,pct,,,,
SKIP,0.26,,,,
RAW,56.99,,,,
LZ4,23.06,,,,
LZ4HC,19.69,,,,
